analytics_avg_percentage_viewed,analytics_avg_view_duration,analytics_avg_view_duration_seconds,analytics_card_clicks,analytics_card_shown,analytics_comments,analytics_ctr,analytics_dislikes,analytics_end_screen_clicks,analytics_end_screen_shown,analytics_engagement_rate,analytics_impressions,analytics_like_rate,analytics_likes,analytics_net_subscribers,analytics_retention_rate,analytics_share_rate,analytics_shares,analytics_subscribers_gained,analytics_subscribers_lost,analytics_unique_viewers,analytics_views,analytics_views_per_impression,analytics_views_per_viewer,analytics_watch_time_hours,artist_name,channel_title,comment_count,days_since_published,difficulty,duration_seconds,duration_text,growth_rate,is_short,like_count,published_at,published_date,published_day_of_week,published_hour,published_is_weekend,published_time,release_date,release_status,song_name,source,support_rate,tags,taiko_id,video_id,video_title,view_count,view_count_diff,view_count_updated
,,,,,,,,,,,,,,,,,,,,,,,,,DECO*27,DECO*27,9772,69,かんたん：0むずかしい：0げきむず：0,,,86976.5,,242516,,,,,,,2025/11/22,開発中,マシュマロ,youtube_api,4.04,"[""ボカロ""]",10015301,ZIzEnTdR368,DECO*27 - マシュマロ feat. 初音ミク,6001377,,
,,,,,,,,,,,,,,,,,,,,,,,,,天乃 リリサ・橘 美花莉,Ayase / YOASOBI,5498,212,かんたん：3むずかしい：6げきむず：0,,,74956.6,,218646,,,,,,,2024/12/19,リリース,WATCH ME,youtube_api,1.38,"[""アニメ""]",10012892,evtoG-4dLM4,YOASOBI「Watch me!」Official Music Video,15890797,,
,,,,,,,,,,,,,,,,,,,,,,,,,Official髭男dism,Official髭男dism,5093,108,かんたん：0むずかしい：0げきむず：0,,,71517.4,,75476,,,,,,,2025/10/14,開発中,らしさ,youtube_api,0.98,"[""ポップス""]",10014900,keOnleW2eak,Official髭男dism - らしさ [Official Video],7723878,,
,,,,,,,,,,,,,,,,,,,,,,,,,King Gnu,King Gnu official YouTube channel,3477,68,かんたん：1むずかしい：6げきむず：0,,,177894.7,,73085,,,,,,,2025/12/06,リリース,SO BAD,youtube_api,0.6,"[""ポップス""]",10015198,d4st4aEjQ28,King Gnu - SO BAD,12096840,,
,,,,,,,,,,,,,,,,,,,,,,,,,YOASOBI,Ayase / YOASOBI,4791,1011,かんたん：2むずかしい：6げきむず：0,,,35008.7,,253648,,,,,,,2024/05/03,リリース,アドベンチャー,youtube_api,0.72,"[""ポップス""]",10011156,Av3xaZkVpJs,YOASOBI「アドベンチャー」Official Music Video,35393778,,
,,,,,,,,,,,,,,,,,,,,,,,,,Aimer,Aimer Official YouTube Channel,4686,145,かんたん：0むずかしい：0げきむず：0,,,100817.5,,127409,,,,,,,2025/10/12,開発中,太陽が昇らない世界,youtube_api,0.87,"[""アニメ""]",10015067,DJOf0XtVpkI,Aimer「太陽が昇らない世界」Music Video（『劇場版「鬼滅の刃」無限城編 』第一章 猗窩座再来』 主題歌）,14618541,,
,,,,,,,,,,,,,,,,,,,,,,,,,LiSA,LiSA Official YouTube,8246,145,かんたん：0むずかしい：0げきむず：0,,,108753.3,,179382,,,,,,,2025/09/21,開発中,残酷な夜に輝け,youtube_api,1.14,"[""ポップス"", ""アニメ""]",10014406,ysdtX8kRTuQ,LiSA『残酷な夜に輝け』MUSiC CLiP,15769234,,
,,,,,,,,,,,,,,,,,,,,,,,,,FRUITS ZIPPER,KAWAII LAB.,13356,62,かんたん：2むずかしい：7げきむず：0,,,344221.4,,84701,,,,,,,2025/12/13,リリース,はちゃめちゃわちゃライフ！,youtube_api,0.4,"[""アニメ""]",10015132,FiTRogMY0Tc,【MV】FRUITS ZIPPER「はちゃめちゃわちゃライフ！」,21341726,,
,,,,,,,,,,,,,,,,,,,,,,,,,DECO*27,DECO*27,7361,144,かんたん：2むずかしい：7げきむず：0,,,100932.1,,276322,,,,,,,2025/11/29,リリース,チェリーポップ feat. 初音ミク,youtube_api,1.9,"[""ボカロ""]",10014801,BI9Ue6JwJic,DECO*27 - チェリーポップ feat. 初音ミク,14534229,,
,,,,,,,,,,,,,,,,,,,,,,,,,DECO*27,DECO*27,4868,245,かんたん：2むずかしい：5げきむず：0,,,17454.8,,138348,,,,,,,2025/12/30,リリース,弱虫モンブラン,youtube_api,3.24,"[""ボカロ""]",10011039,euRzG6zmEb8,DECO*27 - 弱虫モンブラン (Reloaded) feat. 初音ミク,4276423,,
