video_id,title,published_at,published_date,published_time,published_hour,published_day_of_week,published_is_weekend,view_count,like_count,comment_count,duration_seconds,is_short,tags
nihRox5XL6E,【はちゃめちゃわちゃライフ - FRUITS ZIPPER】たいこでヒットソング#shorts #はちゃめちゃわちゃライフ #fruitszipper  #たいこでヒットソング #音ゲー,2025-12-13T09:01:21Z,2025-12-13,09:01:21,9,5,1,2,0,0,18,True,"#たいこでヒットソング,#音ゲー,#リズムゲーム"
y733eVbwCPY,【T氏の話を信じるな - ピノキオピー】たいこで叩いてみた｜たいこでヒットソング#shorts #T氏の話を信じるな #ピノキオピー #たいこでヒットソング #音ゲー,2025-12-12T08:40:53Z,2025-12-12,08:40:53,8,4,0,1791,9,0,14,True,"#たいこでヒットソング,#音ゲー,#リズムゲーム"
UQTyclP_r2U,【ねぐせ - 織姫とBABY feat. 汐れいら】たいこで叩いてみた｜たいこでヒットソング#shorts #ねぐせ #織姫とBABYfeat汐れいら #たいこでヒットソング #音ゲー,2025-12-05T09:00:48Z,2025-12-05,09:00:48,9,4,0,3228,3,0,11,True,"#たいこでヒットソング,#音ゲー,#リズムゲーム"
F-LWfGrIe4E,【カリスマックス - SNOW MAN】たいこで叩いてみた｜たいこでヒットソング#shorts #カリスマックス #snowman  #たいこでヒットソング #音ゲー,2025-12-04T09:00:33Z,2025-12-04,09:00:33,9,3,0,3907,9,0,29,True,"#たいこでヒットソング,#音ゲー,#リズムゲーム"
IEVBbfZaBzQ,【かわいいさがしてくれますか？ - CUTIE STREET】たいこでヒットソング#shorts #かわいいさがしてくれますか？ #CUTIESTREET #たいこでヒットソング #音ゲー,2025-12-03T08:38:02Z,2025-12-03,08:38:02,8,2,0,1928,4,0,13,True,"#たいこでヒットソング,#音ゲー,#リズムゲーム"
0o0t59cW0h0,【チェリーポップ - DECO*27】たいこで叩いてみた｜たいこでヒットソング#shorts #チェリーポップ #DECO*27 #たいこでヒットソング #音ゲー＃初音ミク,2025-11-29T08:00:03Z,2025-11-29,08:00:03,8,5,1,2445,3,0,6,True,"#たいこでヒットソング,#音ゲー,#リズムゲーム"
aPQJEGQ9kQ4,【IRIS OUT - 米津玄師】たいこで叩いてみた｜たいこでヒットソング#shorts #irisout  #米津玄師 #たいこでヒットソング #音ゲー #チェンソーマン,2025-11-28T08:39:22Z,2025-11-28,08:39:22,8,4,0,5276,14,1,5,True,"#たいこでヒットソング,#音ゲー,#リズムゲーム"
hbWUu5vcrnA,【祝福】たいこで叩いてみた｜たいこでヒットソング#shorts #祝福  #たいこでヒットソング #音ゲー,2024-05-08T09:17:02Z,2024-05-08,09:17:02,9,2,0,2368,18,0,18,True,"#たいこでヒットソング,#音ゲー,#リズムゲーム"
sKGYJFDiQn8,【J0KER×JOK3R】たいこで叩いてみた｜たいこでヒットソング#shorts #J0KERJOK3R  #たいこでヒットソング #音ゲー,2024-05-08T09:16:04Z,2024-05-08,09:16:04,9,2,0,1445,16,0,18,True,"#たいこでヒットソング,#音ゲー,#リズムゲーム"
wCau99nqv4o,【タイムパラドックス - Vaundy】たいこで叩いてみた｜たいこでヒットソング#shorts #タイムパラドックス #vaundy  #たいこでヒットソング #音ゲー,2024-04-30T07:32:08Z,2024-04-30,07:32:08,7,1,0,1835,11,0,18,True,"#たいこでヒットソング,#音ゲー,#リズムゲーム"
c5j_aAOZkG0,【冬と春 - back number】たいこで叩いてみた｜たいこでヒットソング#shorts #冬と春 #backnumber #たいこでヒットソング #音ゲー,2024-04-30T07:30:50Z,2024-04-30,07:30:50,7,1,0,1195,7,0,18,True,"#たいこでヒットソング,#音ゲー,#リズムゲーム"
COArXYwt0m0,【丸の内サディスティック - 椎名林檎】たいこで叩いてみた｜たいこでヒットソング#shorts #丸の内サディスティック #椎名林檎 #たいこでヒットソング #音ゲー,2024-04-30T07:29:37Z,2024-04-30,07:29:37,7,1,0,1247,7,2,18,True,"#たいこでヒットソング,#音ゲー,#リズムゲーム"
rCpXozdojLg,【LOVE TRIGGER - Snow Man】たいこで叩いてみた｜たいこでヒットソング#shorts #LOVETRIGGER #SnowMan #たいこでヒットソング #音ゲー,2024-04-30T07:27:38Z,2024-04-30,07:27:38,7,1,0,966,7,1,18,True,"#たいこでヒットソング,#音ゲー,#リズムゲーム"
w7K3pQT19uA,【愛をこめて花束を - Superfly】たいこで叩いてみた｜たいこでヒットソング#shorts #愛をこめて花束を #superfly  #たいこでヒットソング #音ゲー,2024-04-30T07:23:05Z,2024-04-30,07:23:05,7,1,0,1264,9,0,18,True,"#たいこでヒットソング,#音ゲー,#リズムゲーム"
MI9lAVYEOuU,【さんぽ - 井上 あずみ】たいこで叩いてみた｜たいこでヒットソング#shorts #さんぽ #井上あずみ #となりのトトロ #たいこでヒットソング #音ゲー,2024-04-30T03:01:15Z,2024-04-30,03:01:15,3,1,0,2061,8,0,18,True,"#たいこでヒットソング,#音ゲー,#リズムゲーム"
aI0x3gU5D0M,【CHEERS!デリシャスパーティ プリキュア - Machico】たいこで叩いてみた｜たいこでヒットソング,2024-04-30T02:59:19Z,2024-04-30,02:59:19,2,1,0,1513,10,0,18,True,"#たいこでヒットソング,#音ゲー,#リズムゲーム"
t-qkZ-O9Fis,【ラビットホール - DECO*27】たいこで叩いてみた｜たいこでヒットソング#shorts #ラビットホール #deco27  #たいこでヒットソング #音ゲー,2024-04-30T02:57:31Z,2024-04-30,02:57:31,2,1,0,1378,6,0,18,True,"#たいこでヒットソング,#音ゲー,#リズムゲーム"
39IXpnl4D0Y,【レオ - 優里】たいこで叩いてみた｜たいこでヒットソング#shorts #レオ #優里 #たいこでヒットソング #音ゲー,2024-04-30T02:56:07Z,2024-04-30,02:56:07,2,1,0,1381,5,0,18,True,"#たいこでヒットソング,#音ゲー,#リズムゲーム"
7459SA9R55I,【ichiban - King & Prince】たいこで叩いてみた｜たいこでヒットソング#shorts #ichiban  #kingandprince  #たいこでヒットソング #音ゲー,2024-04-30T02:55:01Z,2024-04-30,02:55:01,2,1,0,1100,6,0,18,True,"#たいこでヒットソング,#音ゲー,#リズムゲーム"
4STT85R5oes,【オドループ - フレデリック】たいこで叩いてみた｜たいこでヒットソング#shorts #オドループ #フレデリック #たいこでヒットソング,2024-04-07T03:00:04Z,2024-04-07,03:00:04,3,6,1,1301,5,0,19,True,"#たいこでヒットソング,#音ゲー,#リズムゲーム"
YnhHuhB_4YI,【幾億光年 - Omoinotake】たいこで叩いてみた｜たいこでヒットソング#shorts #幾億光年 #omoinotake #eyeloveyou  #たいこでヒットソング,2024-04-06T03:00:30Z,2024-04-06,03:00:30,3,5,1,1404,8,1,19,True,"#たいこでヒットソング,#音ゲー,#リズムゲーム"
