順位,アーティスト名,曲名,動画タイトル,Video ID,再生数,高評価数,支持率(%),コメント数,急上昇度(views/day),公開日数
1,Number_i,GOAT,GOAT – New Trailer (HD),ggZA2oi8S5s,27220162,44151,0.16,2447,1701260.1,16
2,Creepy Nuts,Bling-Bang-Bang-Born,Creepy Nuts｢Bling-Bang-Bang-Born｣ × TV Anime｢マッシュル-MASHLE-｣ Collaboration Music Video #BBBBダンス,mLW35YMzELE,434872534,2642537,0.61,47634,670065.5,649
3,こっちのけんと,はいよろこんで,はいよろこんで / こっちのけんと MV,jzi6RNVEOtA,197179144,1859780,0.94,59142,350229.4,563
4,Mrs. GREEN APPLE,ライラック,Mrs. GREEN APPLE「ライラック」Official Music Video,QjrkrVmC-8M,208448237,909222,0.44,45075,342842.5,608
5,米津玄師,Lemon,米津玄師  Kenshi Yonezu  - Lemon,SX_ViT4Ra7k,952486081,3452697,0.36,285390,334793.0,2845
6,FRUITS ZIPPER,フルーツバスケット,【3D】11人でなんでもフルーツバスケットで遊んでみた！ #にじフルーツバスケット 【にじさんじ】,aEEN0FMMZWE,332421,20141,6.06,263,332421.0,1
7,サツキ,メズマライザー,メズマライザー / 初音ミク・重音テトSV,19y8YTbvri8,172148749,1890785,1.1,110645,289812.7,594
8,なきそ,いますぐ輪廻,いますぐ輪廻 / 初音ミク,3iUgKH8c7p4,36913431,661594,1.79,20883,277544.6,133
9,Mrs. GREEN APPLE,クスシキ,Mrs. GREEN APPLE「クスシキ」Official Music Video,RCaTLn4qoz4,68710954,432977,0.63,28394,274843.8,250
10,柊マグネタイト,テトリス,テトリス / 重音テトSV,Soy4jGPHr3g,101626430,875547,0.86,23329,255342.8,398
11,DECO*27,モニタリング,DECO*27 - モニタリング feat. 初音ミク,kbNdx0yqbZE,97714662,1108347,1.13,18317,253804.3,385
12,星街すいせい,ビビデバ,ビビデバ / 星街すいせい(official),8ZP5eqm4JqM,158109225,0,0.0,38583,251366.0,629
13,Eve,廻廻奇譚,廻廻奇譚 - Eve MV,1tk1pqwrOys,442597039,3106078,0.7,84313,239500.6,1848
14,すとぷり,プロポーズ,natori - Propose,VDdLF1YubI0,43612358,472033,1.08,5998,230753.2,189
15,Creepy Nuts,オトノケ,Creepy Nuts - オトノケ(Otonoke) 【Official MV】 [Dandadan OP],tRwHpyOq4P4,89220032,1086986,1.22,23308,212428.6,420
16,Ado,うっせぇわ,【Ado】うっせぇわ,Qp3b-RXtz4w,397354110,3608632,0.91,239401,211809.2,1876
17,Aimer,残響散歌,Aimer「Zankyosanka」MUSIC VIDEO（Demon Slayer:Kimetsu no Yaiba Entertainment District Arc Theme Song）,tLQLa6lM3Us,282312316,1420321,0.5,25136,193364.6,1460
18,King Gnu,SO BAD,King Gnu - SO BAD,d4st4aEjQ28,12057315,72900,0.6,3474,191386.0,63
19,サカナクション,怪獣,サカナクション / 怪獣　-Music Video-,a8dgNdJVluc,51467998,520949,1.01,15333,189918.8,271
20,YOASOBI,UNDEAD,YOASOBI「UNDEAD」 Official Music Video／『〈物語〉シリーズ オフ&モンスターシーズン』主題歌,Jj1_mfUzjOs,84648136,586692,0.69,12183,186861.2,453
21,SEKAI NO OWARI,Habit,SEKAI NO OWARI「Habit」,8OZDgBmehbA,237558571,1531306,0.64,45666,179424.9,1324
22,米津 玄師,さよーならまたいつか!,"米津玄師 - さよーならまたいつか！ Kenshi Yonezu - Sayonara, Mata Itsuka !",-wb2PAx6aEs,108864203,605705,0.56,28581,178759.0,609
23,弌誠,モエチャッカファイア,モエチャッカファイア / 弌誠：MUSIC VIDEO,wZlv3qDPfjk,89779235,952873,1.06,19329,177429.3,506
24,Mrs. GREEN APPLE,breakfast,Mrs. GREEN APPLE「breakfast」Official Music Video,-zsYJTSw_V0,33602416,253260,0.75,14504,176854.8,190
25,吉本おじさん,お返事まだカナ？おじさん構文！,お返事まだカナ💦❓おじさん構文😁❗️ / 雨衣,8E8aWeY-pAc,33567787,430173,1.28,13380,172142.5,195
26,Mrs. GREEN APPLE,GOOD DAY,Mrs. GREEN APPLE「GOOD DAY」Official Music Video,TLJqi0IjMwo,11868574,146075,1.23,16439,169551.1,70
27,CUTIE STREET,かわいいだけじゃだめですか？,【MV】CUTIE STREET「かわいいだけじゃだめですか？」,jZqTz1G8G04,66890885,349609,0.52,22990,158509.2,422
