順位,release_date,アーティスト名,曲名,動画タイトル,Video ID,再生数,高評価数,支持率(%),コメント数,急上昇度(views/day),公開日数,最適投稿日時,予測視聴数,信頼度スコア
1,2024/05/12,米津玄師,Lemon,米津玄師  Kenshi Yonezu  - Lemon,SX_ViT4Ra7k,953109198,3454735,0.36,285679,334541.7,2849,,0,0.0
2,2024/06/05,Eve,廻廻奇譚,廻廻奇譚 - Eve MV,1tk1pqwrOys,443099295,3108155,0.7,84349,239254.5,1852,,0,0.0
3,2024/01/27,Creepy Nuts,Bling-Bang-Bang-Born,Creepy Nuts｢Bling-Bang-Bang-Born｣ × TV Anime｢マッシュル-MASHLE-｣ Collaboration Music Video #BBBBダンス,mLW35YMzELE,436036655,2648408,0.61,47702,667743.7,653,,0,0.0
4,2021/08/05,Ado,うっせぇわ,【Ado】うっせぇわ,Qp3b-RXtz4w,397744026,3611463,0.91,239360,211566.0,1880,,0,0.0
5,2025/04/02,米津玄師,アイネクライネ,"米津玄師  - アイネクライネ , Kenshi Yonezu - Eine Kleine",-EKxzId_Sj4,367168195,1349301,0.37,62751,85827.1,4278,,0,0.0
6,2024/08/31,米津玄師,LOSER,"米津玄師 - LOSER , Kenshi Yonezu",Dx_fKPBPYUI,357217109,1413868,0.4,67165,105716.8,3379,,0,0.0
7,2024/05/22,RADWIMPS,前前前世,RADWIMPS - 前前前世 (movie ver.) [Official Music Video],PDSkFeMVNFs,346107561,1596505,0.46,112650,101617.0,3406,,0,0.0
8,2024/04/26,back number,水平線,back number - 水平線,iqEr3P78fz8,283958536,1154337,0.41,41593,145844.1,1947,,0,0.0
9,2024/04/22,Aimer,残響散歌,Aimer「Zankyosanka」MUSIC VIDEO（Demon Slayer:Kimetsu no Yaiba Entertainment District Arc Theme Song）,tLQLa6lM3Us,282683461,1421363,0.5,25151,192958.0,1465,,0,0.0
10,2024/01/20,SEKAI NO OWARI,Habit,SEKAI NO OWARI「Habit」,8OZDgBmehbA,237749821,1531896,0.64,45675,179028.5,1328,,0,0.0
11,2024/06/08,Mrs. GREEN APPLE,ライラック,Mrs. GREEN APPLE「ライラック」Official Music Video,QjrkrVmC-8M,209173959,911111,0.44,45145,341229.9,613,,0,0.0
12,2024/04/18,Official髭男dism,イエスタデイ,Official髭男dism - イエスタデイ［Official Video］,DuMqFknYHBs,207159931,797433,0.38,35088,90899.5,2279,,0,0.0
13,2024/04/21,Ado,ギラギラ,【Ado】ギラギラ,sOiMD45QGLs,205445200,1356522,0.66,44554,116333.6,1766,,0,0.0
14,2024/07/07,ヨルシカ,だから僕は音楽を辞めた,ヨルシカ - だから僕は音楽を辞めた (Music Video),KTZ-y85Erus,204376686,1288368,0.63,30484,83521.3,2447,,0,0.0
15,2023/12/03,WANIMA,ともに,WANIMA - ともに (OFFICIAL VIDEO),qag4ewos4TE,198169368,701833,0.35,27900,57825.9,3427,,0,0.0
16,2024/07/20,こっちのけんと,はいよろこんで,はいよろこんで / こっちのけんと MV,jzi6RNVEOtA,197544179,1861160,0.94,59159,347789.0,568,,0,0.0
17,2025/06/07,菅田将暉,虹,菅田将暉 『虹』,hkBbUf4oGfA,183937795,722279,0.39,25720,99587.3,1847,,0,0.0
18,2024/04/13,yama,春を告げる,yama - 春を告げる (Official Video),DC6JppqHkaM,183203631,1421594,0.78,28520,88504.2,2070,,0,0.0
19,2024/07/13,サツキ,メズマライザー,メズマライザー / 初音ミク・重音テトSV,19y8YTbvri8,172788731,1895047,1.1,110870,288944.4,598,,0,0.0
20,2024/11/12,藤井 風,きらり,Fujii Kaze - Kirari (Official Video),TcLLpZBWsck,165737150,1210472,0.73,37681,99243.8,1670,,0,0.0
