id,song_name,artist_name,video_id,video_title,view_count,like_count,comment_count,support_rate,engagement_rate,published_at,release_date,tags,difficulty,release_status
10015301,マシュマロ,DECO*27,ZIzEnTdR368,DECO*27 - マシュマロ feat. 初音ミク,6129138,243305,9780,3.97,4.13,2025-10-08T10:00:07Z,2025/11/22,"[""ボカロ""]",かんたん：0むずかしい：0げきむず：0,開発中
10014438,WATCH ME!,YOASOBI,evtoG-4dLM4,YOASOBI「Watch me!」Official Music Video,16037815,219210,5510,1.37,1.4,2025-05-18T08:30:07Z,2025/09/09,"[""ポップス"", ""アニメ""]",かんたん：0むずかしい：0げきむず：0,開発中
10014900,らしさ,Official髭男dism,keOnleW2eak,Official髭男dism - らしさ [Official Video],7930351,76296,5128,0.96,1.03,2025-08-30T13:00:06Z,2025/10/14,"[""ポップス""]",かんたん：0むずかしい：0げきむず：0,開発中
10015198,SO BAD,King Gnu,d4st4aEjQ28,King Gnu - SO BAD,12157168,73490,3521,0.6,0.63,2025-10-09T12:00:07Z,2025/12/06,"[""ポップス""]",かんたん：1むずかしい：6げきむず：0,リリース
10011156,アドベンチャー,YOASOBI,Av3xaZkVpJs,YOASOBI「アドベンチャー」Official Music Video,35477093,253803,4792,0.72,0.73,2023-03-11T01:00:11Z,2024/05/03,"[""ポップス""]",かんたん：2むずかしい：6げきむず：0,リリース
10015067,太陽が昇らない世界,Aimer,DJOf0XtVpkI,Aimer「太陽が昇らない世界」Music Video（『劇場版「鬼滅の刃」無限城編 』第一章 猗窩座再来』 主題歌）,14742124,127802,4692,0.87,0.9,2025-07-24T10:45:07Z,2025/10/12,"[""アニメ""]",かんたん：0むずかしい：0げきむず：0,開発中
10014406,残酷な夜に輝け,LiSA,ysdtX8kRTuQ,LiSA『残酷な夜に輝け』MUSiC CLiP,16001570,180162,8282,1.13,1.18,2025-07-24T10:50:07Z,2025/09/21,"[""ポップス"", ""アニメ""]",かんたん：0むずかしい：0げきむず：0,開発中
10015132,はちゃめちゃわちゃライフ！,FRUITS ZIPPER,FiTRogMY0Tc,【MV】FRUITS ZIPPER「はちゃめちゃわちゃライフ！」,22370264,87685,13568,0.39,0.45,2025-10-15T11:00:34Z,2025/12/13,"[""アニメ""]",かんたん：2むずかしい：7げきむず：0,リリース
10014801,チェリーポップ feat. 初音ミク,DECO*27,BI9Ue6JwJic,DECO*27 - チェリーポップ feat. 初音ミク,14771210,277529,7372,1.88,1.93,2025-07-25T10:00:18Z,2025/11/29,"[""ボカロ""]",かんたん：2むずかしい：7げきむず：0,リリース
10011039,弱虫モンブラン,DECO*27,euRzG6zmEb8,DECO*27 - 弱虫モンブラン (Reloaded) feat. 初音ミク,4304903,138611,4870,3.22,3.33,2025-04-15T10:01:07Z,2025/12/30,"[""ボカロ""]",かんたん：2むずかしい：5げきむず：0,リリース
10014870,織姫とBABY feat. 汐れいら,ねぐせ。,RyviHjvLIao,ねぐせ。「織姫とBABY feat. 汐れいら」Official Music Video,16047148,118556,1944,0.74,0.75,2025-06-22T11:00:06Z,2025/11/22,"[""ポップス""]",かんたん：1むずかしい：6げきむず：0,リリース
10014934,GOOD DAY,Mrs. GREEN APPLE,TLJqi0IjMwo,Mrs. GREEN APPLE「GOOD DAY」Official Music Video,12642003,148854,17517,1.18,1.32,2025-10-02T12:00:07Z,2025/12/25,"[""ポップス""]",かんたん：1むずかしい：6げきむず：0,リリース
10015032,ラブソングに襲われる,=LOVE,_cf4UTe1qrY,＝LOVE（イコールラブ）/ 19th Single『ラブソングに襲われる』【MV full】,13097980,129552,12292,0.99,1.08,2025-09-06T09:58:08Z,2025/10/25,[],かんたん：0むずかしい：0げきむず：0,開発中
10014935,いますぐ輪廻,なきそ,3iUgKH8c7p4,いますぐ輪廻 / 初音ミク,38359771,671527,21105,1.75,1.81,2025-08-01T10:00:08Z,2025/10/13,"[""ボカロ""]",かんたん：0むずかしい：0げきむず：0,開発中
10011765,絶対アイドル辞めないで,=LOVE,17NBPoc78oM,＝LOVE（イコールラブ）/ 17th Single『絶対アイドル辞めないで』【MV full】,20450082,125279,14096,0.61,0.68,2024-06-22T11:30:08Z,2024/07/19,"[""ポップス""]",かんたん：3むずかしい：6げきむず：0,リリース
10013745,とくべチュ、して,=LOVE,F3P8vcZkIh4,＝LOVE（イコールラブ）/ 18th Single『とくべチュ、して』【MV full】,28303882,152095,24020,0.54,0.62,2025-02-02T13:00:07Z,2025/06/14,"[""ポップス""]",かんたん：2むずかしい：5げきむず：0,リリース
10015197,Moonchaser,STARGLOW,FTXk6epFQdM,STARGLOW / Moonchaser -Music Video-,4691461,108673,13517,2.32,2.6,2025-09-22T11:00:06Z,2025/12/07,"[""ポップス""]",かんたん：0むずかしい：0げきむず：0,開発中
10014077,恋風,幾田 りら,bWlknrhWjVw,幾田りら「恋風」 Official Music Video,14449255,99211,1797,0.69,0.7,2025-06-09T13:00:28Z,2025/11/02,"[""ポップス""]",かんたん：2むずかしい：6げきむず：0,リリース
10013515,超主人公,ピノキオピー,thmR2SmkeDU,ピノキオピー - 超主人公 feat. 初音ミク / Super Superhero,7631435,138079,4450,1.81,1.87,2025-02-14T10:01:10Z,2025/11/01,"[""ボカロ""]",かんたん：3むずかしい：6げきむず：0,リリース
