日付,エンゲージ ビュー,チャンネル登録者,平均再生率（%） (%),追加された動画,公開済みの動画,インプレッション数,インプレッションのクリック率 (%),視聴を継続 (%),ユニーク視聴者数,視聴者あたりの平均視聴回数,新しい視聴者数,リピーター,ライトな視聴者,コアな視聴者,ハイプ,ハイプポイント,登録者増加数,登録者減少数,高評価数,低評価数,高評価率（低評価比） (%),共有数,コメントの追加回数,売上合計 (JPY),注文数,承認済みのコミッション (JPY),保留中のコミッション (JPY),返却された商品 (JPY),YouTube Premium の視聴回数,YouTube Premium 総再生時間（単位: 時間）,再生リストの総再生時間（単位: 時間）,再生リストからの視聴,再生リスト開始あたりの再生回数,ストリーミング時間,設定されているリマインダーの数,チャット メッセージ,リアクション,投稿のインプレッション,投稿の高評価,投稿の高評価率 (%),投稿のチャンネル登録者,投稿の回答,投稿の返信率 (%),リミックス数,リミックス視聴回数,コミュニティ クリップの視聴回数,コミュニティ クリップから発生した総再生時間（単位は時間）,カードのクリック数,カードの表示回数,カード ティーザーの表示回数,カードのティーザーのクリック数,カード表示 1 回あたりのクリック数 (%),カード ティーザー表示 1 回あたりのクリック数 (%),終了画面要素のクリック数,終了画面要素の表示回数,終了画面要素のクリック率 (%),視聴回数,総再生時間（単位: 時間）,平均視聴時間
合計,1939978,589,125.18,262,209,1853505,2.58,38.26,0,0,0,0,0,0,0,0,1031,442,30347,2740,91.72,122,130,0,0,0,0,0,26285,93.7551,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,0,0,0,0,0,0,0,0,0,0,0,4368256,12590.2109,0:00:21
2023-12-13,19490,8,113,1,4,3225,2.57,36.8,18441,1.0569,15590,2851,2851,0,0,0,11,3,104,-7,107.22,1,0,,,,,,539,2.0321,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,19490,93.3991,0:00:17
2023-11-11,17828,0,97.44,,,10,0,,16474,1.0822,16096,378,378,0,0,0,0,0,5,1,83.33,0,0,,,,,,0,0,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,17828,72.3805,0:00:14
2023-12-26,14743,10,117.93,17,3,3431,2.36,40.78,13971,1.0553,11635,2336,2336,0,0,0,12,2,426,136,75.8,0,2,,,,,,313,0.9843,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,14743,98.2858,0:00:24
2023-12-07,14328,10,112.43,0,1,5238,3.09,35.98,13097,1.094,11479,1618,1618,0,0,0,12,2,165,112,59.57,0,3,,,,,,232,0.9207,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,14328,68.1861,0:00:17
2023-11-24,12606,21,117.11,9,3,3577,3.61,38.4,11635,1.0835,10899,736,736,0,0,0,26,5,187,72,72.2,1,5,,,,,,595,2.1819,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,12606,64.2858,0:00:18
2023-12-21,12588,6,143.72,9,3,2624,2.74,43.89,11871,1.0604,9995,1876,1876,0,0,0,6,0,411,127,76.39,0,3,,,,,,250,0.9541,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,12588,97.2477,0:00:27
2023-11-25,12184,29,104.03,0,3,4863,3,42.06,11377,1.0709,10671,706,706,0,0,0,36,7,117,6,95.12,1,1,,,,,,759,2.726,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,12184,55.761,0:00:16
2023-12-20,12180,7,126.05,8,3,2295,2.79,41.92,11529,1.0565,9728,1801,1801,0,0,0,11,4,247,191,56.39,1,4,,,,,,396,1.495,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,12180,80.6691,0:00:23
2023-12-27,12122,-1,142.3,4,2,2791,1.9,24.16,11592,1.0457,9025,2567,2567,0,0,0,1,2,566,11,98.09,0,0,,,,,,9,0.0209,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,12122,108.176,0:00:32
